
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights:  50%|████▉     | 144/290 [00:00<00:00, 1439.10it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 1717.18it/s]
dense_full_trainable_parameters=494032768
      "grad_norm": 3.605665445327759
    },
    {
      "step": 2425,
      "loss": 0.00020421170944473488,
      "grad_norm": 0.5330225825309753
    },
    {
      "step": 2450,
      "loss": 0.9241815846253081,
      "grad_norm": 743.92236328125
    },
    {
      "step": 2475,
      "loss": 0.24904343014003416,
      "grad_norm": 429.1937561035156
    },
    {
      "step": 2500,
      "loss": 0.006253347395592357,
      "grad_norm": 60.36249542236328
    },
    {
      "step": 2525,
      "loss": 0.00228317067011119,
      "grad_norm": 8.041705131530762
    },
    {
      "step": 2550,
      "loss": 0.0007148304695583363,
      "grad_norm": 7.229716777801514
    },
    {
      "step": 2575,
      "loss": 0.00011396067309732416,
      "grad_norm": 0.5022516250610352
    },
    {
      "step": 2600,
      "loss": 0.016182738383462514,
      "grad_norm": 49.87006378173828
    },
    {
      "step": 2625,
      "loss": 0.001673195528538507,
      "grad_norm": 12.350303649902344
    },
    {
      "step": 2650,
      "loss": 0.8917356282215962,
      "grad_norm": 798.2715454101562
    },
    {
      "step": 2675,
      "loss": 4.010922705610653e-05,
      "grad_norm": 0.07081196457147598
    },
    {
      "step": 2700,
      "loss": 0.059506259830406805,
      "grad_norm": 304.4985046386719
    },
    {
      "step": 2725,
      "loss": 0.8494462789548116,
      "grad_norm": 549.2911376953125
    },
    {
      "step": 2750,
      "loss": 0.029242338839807758,
      "grad_norm": 74.43388366699219
    },
    {
      "step": 2775,
      "loss": 0.10331158818647168,
      "grad_norm": 294.3199462890625
    },
    {
      "step": 2800,
      "loss": 0.00043376481710311054,
      "grad_norm": 1.2858498096466064
    },
    {
      "step": 2825,
      "loss": 0.01587467260919695,
      "grad_norm": 76.32845306396484
    },
    {
      "step": 2850,
      "loss": 2.8759160297653352e-06,
      "grad_norm": 0.004401042591780424
    },
    {
      "step": 2875,
      "loss": 4.0083900856302535e-06,
      "grad_norm": 0.014828752726316452
    },
    {
      "step": 2900,
      "loss": 9.266546015496147e-05,
      "grad_norm": 0.5556620955467224
    },
    {
      "step": 2925,
      "loss": 1.1056431379330434e-05,
      "grad_norm": 0.05996082350611687
    },
    {
      "step": 2950,
      "loss": 1.5944213060947732e-06,
      "grad_norm": 0.003384895622730255
    },
    {
      "step": 2975,
      "loss": 0.07912542684718105,
      "grad_norm": 342.752197265625
    },
    {
      "step": 3000,
      "loss": 0.0004057870400302477,
      "grad_norm": 1.4794412851333618
    },
    {
      "step": 3025,
      "loss": 0.1763094284136706,
      "grad_norm": 481.6166076660156
    },
    {
      "step": 3050,
      "loss": 1.6093235082337287e-06,
      "grad_norm": 0.0012619622284546494
    },
    {
      "step": 3075,
      "loss": 4.336202712451609e-06,
      "grad_norm": 0.010658267885446548
    },
    {
      "step": 3100,
      "loss": 1.0580277291434506,
      "grad_norm": 2026.8006591796875
    },
    {
      "step": 3125,
      "loss": 4.202099006533899e-06,
      "grad_norm": 0.011502849869430065
    },
    {
      "step": 3150,
      "loss": 3.010024734351191e-06,
      "grad_norm": 0.002405247651040554
    },
    {
      "step": 3175,
      "loss": 0.008454920707257507,
      "grad_norm": 31.768930435180664
    },
    {
      "step": 3200,
      "loss": 0.00027804786344187704,
      "grad_norm": 1.1163520812988281
    },
    {
      "step": 3225,
      "loss": 0.004437036955915907,
      "grad_norm": 35.331600189208984
    },
    {
      "step": 3250,
      "loss": 3.1719987459184216,
      "grad_norm": 756.1630859375
    },
    {
      "step": 3275,
      "loss": 0.9375874846040624,
      "grad_norm": 891.673828125
    },
    {
      "step": 3300,
      "loss": 0.8371321488097925,
      "grad_norm": 1666.8328857421875
    },
    {
      "step": 3325,
      "loss": 0.8440901110882848,
      "grad_norm": 975.1541137695312
    },
    {
      "step": 3350,
      "loss": 0.005376195068530265,
      "grad_norm": 69.62576293945312
    },
    {
      "step": 3375,
      "loss": 4.08286294639737e-06,
      "grad_norm": 0.008929457515478134
    },
    {
      "step": 3400,
      "loss": 2.4586828804018523e-06,
      "grad_norm": 0.005227701272815466
    },
    {
      "step": 3425,
      "loss": 3.546875119209278,
      "grad_norm": 375.8865661621094
    },
    {
      "step": 3450,
      "loss": 3.2782539882703077e-07,
      "grad_norm": 0.0006533560226671398
    },
    {
      "step": 3475,
      "loss": 0.02004149730876037,
      "grad_norm": 149.1719207763672
    },
    {
      "step": 3500,
      "loss": 7.450575658651815e-07,
      "grad_norm": 0.0004506833793129772
    },
    {
      "step": 3525,
      "loss": 0.00041956211094174023,
      "grad_norm": 3.049612283706665
    },
    {
      "step": 3550,
      "loss": 5.77749708190467e-05,
      "grad_norm": 0.24467633664608002
    },
    {
      "step": 3575,
      "loss": 5.245169276690831e-06,
      "grad_norm": 0.0033845752477645874
    },
    {
      "step": 3600,
      "loss": 3.1184783182425235e-05,
      "grad_norm": 0.1080152615904808
    },
    {
      "step": 3625,
      "loss": 4.15739115933178e-06,
      "grad_norm": 0.020182982087135315
    },
    {
      "step": 3650,
      "loss": 0.0001400185282918187,
      "grad_norm": 0.46975839138031006
    },
    {
      "step": 3675,
      "loss": 1.0579795786114232e-06,
      "grad_norm": 0.0021586737129837275
    },
    {
      "step": 3700,
      "loss": 0.000158095310314188,
